"pattern","mpn_per_g","ci_low","ci_high"
"P000","<3.0","–","9.5"
"P001","3","0.15","9.6"
"P010","3","0.15","11"
"P011","6.1","1.2","18"
"P020","6.2","1.2","18"
"P030","9.4","3.6","38"
"P100","3.6","0.17","18"
"P101","7.2","1.3","18"
"P102","11","3.6","38"
"P110","7.4","1.3","20"
"P111","11","3.6","38"
"P120","11","3.6","42"
"P121","15","4.5","42"
"P130","16","4.5","42"
"P200","9.2","1.4","38"
"P201","14","3.6","42"
"P202","20","4.5","42"
"P210","15","3.7","42"
"P211","20","4.5","42"
"P212","27","8.7","94"
"P220","21","4.5","42"
"P221","28","8.7","94"
"P222","35","8.7","94"
"P230","29","8.7","94"
"P231","36","8.7","94"
"P300","23","4.6","94"
"P301","38","8.7","110"
"P302","64","17","180"
"P310","43","9","180"
"P311","75","17","200"
"P312","120","37","420"
"P313","160","40","420"
"P320","93","18","420"
"P321","150","37","420"
"P322","210","40","430"
"P323","290","90","1000"
"P330","240","42","1000"
"P331","460","90","2000"
"P332","1100","180","4100"
"P333",">1100","420","–"
